feature,category,woe,coefficient,iv,points
bureau_score,Missing,0.0,-0.4790305938744689,0.0,40
bureau_score,"[645.50, 665.50)",-0.03828887221943855,-0.4790305938744689,0.00011907046032685995,38
bureau_score,"[630.50, 645.50)",-0.2848000741217205,-0.4790305938744689,0.004922465515841501,30
bureau_score,"[596.50, 630.50)",-0.5982507321485389,-0.4790305938744689,0.04548949050218012,19
bureau_score,"[564.50, 596.50)",-1.0848374016352595,-0.4790305938744689,0.1133840444997466,2
bureau_score,"(-inf, 564.50)",-1.7781657555512036,-0.4790305938744689,0.3806250021045109,-22
d_cure_flag,0,0.11607065889612042,-0.0464057686926008,0.011800156607030049,40
d_cure_flag,1,-0.8779522345716083,-0.0464057686926008,0.08925575128085392,37
d_curr_delinq_bucket_cd,C,0.771494822136737,-0.07754775946270606,0.2944573925695952,44
d_curr_delinq_bucket_cd,1-29,-0.25274522904239083,-0.07754775946270606,0.011549753357264875,38
d_curr_delinq_bucket_cd,30-59,-0.9894787395894582,-0.07754775946270606,0.1535212110578439,34
d_curr_delinq_bucket_cd,60-89,-1.7205003574215334,-0.07754775946270606,0.31110158074534333,30
d_mob_since_last_delinq_cnt,"(-inf, -0.50)",0.5602710981016492,-0.12463134043289109,0.18944376651537173,45
d_mob_since_last_delinq_cnt,Special,0.0,-0.12463134043289109,0.0,40
d_mob_since_last_delinq_cnt,Missing,0.0,-0.12463134043289109,0.0,40
d_mob_since_last_delinq_cnt,"[-0.50, inf)",-0.9543743975933054,-0.12463134043289109,0.3227014228621023,31
d_times_60dpd_12m_cnt,0,0.289017258926952,-0.2449629679312337,0.06810109800577144,45
d_times_60dpd_12m_cnt,1,-1.523478139871608,-0.2449629679312337,0.29991046316323206,13
d_times_60dpd_12m_cnt,2+,-1.9575516029244298,-0.2449629679312337,0.07589586814643585,5
delinq_trades_cnt,0,0.39979808833652564,-0.03447733001553993,0.09836149761474745,41
delinq_trades_cnt,1,-0.5303204406095329,-0.03447733001553993,0.06698277706083253,38
delinq_trades_cnt,2,-0.8918520759862811,-0.03447733001553993,0.07098397208500117,37
delinq_trades_cnt,3,-1.1248720411788966,-0.03447733001553993,0.03229686742822642,37
delinq_trades_cnt,4+,-1.3939369368017356,-0.03447733001553993,0.015916620975160275,36
dti_ratio,"(-inf, 0.08)",0.2049098507249809,-0.05699432225514195,0.0019696565162835526,40
dti_ratio,"[0.08, 0.18)",0.06839665670706241,-0.05699432225514195,0.000804994716573613,40
dti_ratio,"[0.18, 0.32)",0.06320833251131441,-0.05699432225514195,0.0008794121279516528,40
dti_ratio,"[0.32, 0.59)",0.05318993846121289,-0.05699432225514195,0.0013641483350519208,40
dti_ratio,Special,0.0,-0.05699432225514195,0.0,40
dti_ratio,Missing,0.0,-0.05699432225514195,0.0,40
dti_ratio,"[0.59, inf)",-0.8214862932466778,-0.05699432225514195,0.05006257613131618,36
inq_12m_cnt,"(-inf, 0.50)",1.357791391363532,-0.14395756746138572,0.3690335160069297,54
inq_12m_cnt,"[0.50, 1.50)",0.4093519620750872,-0.14395756746138572,0.023908895687765847,44
inq_12m_cnt,"[1.50, 2.50)",0.027053379594484284,-0.14395756746138572,0.0001081609269551912,40
inq_12m_cnt,Special,0.0,-0.14395756746138572,0.0,40
inq_12m_cnt,Missing,0.0,-0.14395756746138572,0.0,40
inq_12m_cnt,"[2.50, 3.50)",-0.2722388842426291,-0.14395756746138572,0.009827263584567038,37
inq_12m_cnt,"[3.50, 4.50)",-0.5664580838023641,-0.14395756746138572,0.03411244068291406,34
inq_12m_cnt,"[4.50, 5.50)",-0.8282568553268752,-0.14395756746138572,0.054741750795484476,31
inq_12m_cnt,"[5.50, inf)",-1.295339469405548,-0.14395756746138572,0.222517363800732,26
p_days_since_last_pay_cnt,"(-inf, 0.50)",1.2799537908234924,-0.05125035868554387,0.04779397260002209,44
